"","date","doses","dosescm","fdoses","fdosescm","sdoses","sdosescm","pop","doses7d","dosert","fdoses7d","fdosert","sdoses7d","sdosert"
"35",2021-01-19,4530,111418,2968,84948,1562,26470,110029,4500.14285714286,101.262394459642,3170,77.2051004735115,1330.14285714286,24.0572939861309
"36",2021-01-20,6081,117499,3731,88679,2350,28820,110029,4395,106.789119232202,3166.28571428571,80.5960246844014,1228.71428571429,26.193094547801
"37",2021-01-21,8217,125716,5441,94120,2776,31596,110029,4618.85714285714,114.257150387625,3335,85.5410846231448,1283.85714285714,28.7160657644803
"38",2021-01-22,10547,136263,8723,102843,1824,33420,110029,5442,123.842805078661,4018.42857142857,93.4689945378037,1423.57142857143,30.3738105408574
"39",2021-01-23,9768,146031,8799,111642,969,34389,110029,6211.42857142857,132.720464604786,4723.28571428571,101.465977151478,1488.14285714286,31.2544874533078
"40",2021-01-24,4959,150990,4368,116010,591,34980,110029,6478,137.227458215561,4978.14285714286,105.435839642276,1499.85714285714,31.7916185732852
"41",2021-01-25,1727,152717,1598,117608,129,35109,110029,6547,138.797044415563,5089.71428571429,106.888184024212,1457.28571428571,31.9088603913514
"42",2021-01-26,8334,161051,5993,123601,2341,37450,110029,7090.42857142857,146.371411173418,5521.85714285714,112.334929882122,1568.57142857143,34.0364812912959
"43",2021-01-27,9814,170865,6486,130087,3328,40778,110029,7623.71428571429,155.290877859473,5915.42857142857,118.229739432331,1708.28571428571,37.0611384271419
"44",2021-01-28,11572,182437,8714,138801,2858,43636,110029,8103,165.808105135919,6383,126.149469685265,1720,39.6586354506539
"45",2021-01-29,12197,194634,10117,148918,2080,45716,110029,8338.71428571429,176.893364476638,6582.14285714286,135.34431831608,1756.57142857143,41.5490461605577
"46",2021-01-30,12625,207259,11052,159970,1573,47289,110029,8746.85714285714,188.367612174972,6904,145.38894291505,1842.85714285714,42.9786692599224
"47",2021-01-31,6688,213947,5277,165247,1411,48700,110029,8993.85714285714,194.446009688355,7033.85714285714,150.184951240128,1960,44.2610584482273
"48",2021-02-01,2654,216601,2155,167402,499,49199,110029,9126.28571428571,196.858101046088,7113.42857142857,152.143525797744,2012.85714285714,44.7145752483436
"49",2021-02-02,8256,224857,6277,173679,1979,51178,110029,9115.14285714286,204.361577402321,7154,157.84838542566,1961.14285714286,46.5131919766607
"50",2021-02-03,12387,237244,8584,182263,3803,54981,110029,9482.71428571429,215.61951849058,7453.71428571429,165.649965009225,2029,49.9695534813549
"51",2021-02-04,13240,250484,10035,192298,3205,58186,110029,9721,227.652709740159,7642.42857142857,174.770287833208,2078.57142857143,52.8824219069518
"52",2021-02-05,15688,266172,12614,204912,3074,61260,110029,10219.7142857143,241.910768979087,7999.14285714286,186.23453816721,2220.57142857143,55.6762308118769
"53",2021-02-06,16913,283085,12625,217537,4288,65548,110029,10832.2857142857,257.282171063992,8223.85714285714,197.708785865545,2608.42857142857,59.5733851984477
"54",2021-02-07,9057,292142,6958,224495,2099,67647,110029,11170.7142857143,265.513637313799,8464,204.032573230694,2706.71428571429,61.4810640831054
"55",2021-02-08,3194,295336,2428,226923,766,68413,110029,11247.8571428571,268.416508375065,8503,206.239264193985,2744.85714285714,62.1772441810795
"56",2021-02-09,10153,305489,7359,234282,2794,71207,110029,11518.8571428571,277.644075652782,8657.57142857143,212.927500931573,2861.28571428571,64.7165747212099
"57",2021-02-10,11566,317055,8197,242479,3369,74576,110029,11401.5714285714,288.155849821411,8602.28571428571,220.377355060938,2799.28571428571,67.7784947604722
"58",2021-02-11,16551,333606,11284,253763,5267,79843,110029,11874.5714285714,303.198247734688,8780.71428571429,230.632833162166,3093.85714285714,72.5654145725218
"59",2021-02-12,18526,352132,10517,264280,8009,87852,110029,12280,320.035626971071,8481.14285714286,240.191222314117,3798.85714285714,79.8444046569541
"60",2021-02-13,17192,369324,10353,274633,6839,94691,110029,12319.8571428571,335.660598569468,8156.57142857143,249.600559852403,4163.28571428571,86.0600387170655
"61",2021-02-14,11884,381208,8293,282926,3591,98282,110029,12723.7142857143,346.461387452399,8347.28571428571,257.137663706841,4376.42857142857,89.323723745558
"62",2021-02-15,3625,384833,2783,285709,842,99124,110029,12785.2857142857,349.755973425188,8398,259.66699688264,4387.28571428571,90.0889765425479
"63",2021-02-16,8506,393339,5773,291482,2733,101857,110029,12550,357.486662607131,8171.42857142857,264.913795453926,4378.57142857143,92.5728671532051
"64",2021-02-17,8196,401535,5405,296887,2791,104648,110029,12068.5714285714,364.935607885194,7772.57142857143,269.826136745767,4296,95.1094711394269
"65",2021-02-18,12870,414405,6274,303161,6596,111244,110029,11542.7142857143,376.632524152723,7056.85714285714,275.528269819775,4485.85714285714,101.104254332949
"66",2021-02-19,15181,429586,7488,310649,7693,118937,110029,11064.8571428571,390.429795781112,6624.14285714286,282.333748375428,4440.71428571429,108.096047405684
"67",2021-02-20,14862,444448,6598,317247,8264,127201,110029,10732,403.937143843896,6087.71428571429,288.330349271556,4644.28571428571,115.60679457234
"68",2021-02-21,8810,453258,4525,321772,4285,131486,110029,10292.8571428571,411.944123821902,5549.42857142857,292.442901416899,4743.42857142857,119.501222405002
"69",2021-02-22,3771,457029,2204,323976,1567,133053,110029,10313.7142857143,415.371402084905,5466.71428571429,294.446009688355,4847,120.92539239655
"70",2021-02-23,11141,468170,4712,328688,6429,139482,110029,10690.1428571429,425.496914449827,5315.14285714286,298.728517027329,5375,126.768397422498
"71",2021-02-24,15135,483305,7653,336341,7482,146964,110029,11681.4285714286,439.252378918285,5636.28571428571,305.683956047951,6045.14285714286,133.568422870334
"72",2021-02-25,16354,499659,8223,344564,8131,155095,110029,12179.1428571429,454.115733124903,5914.71428571429,313.157440311191,6264.42857142857,140.958292813713
"73",2021-02-26,19149,518808,8751,353315,10398,165493,110029,12746,471.519326722955,6095.14285714286,321.110798062329,6650.85714285714,150.408528660626
"74",2021-02-27,20824,539632,10240,363555,10584,176077,110029,13597.7142857143,490.445246253261,6615.42857142857,330.417435403394,6982.28571428571,160.027810849867
"75",2021-02-28,15647,555279,10632,374187,5016,181093,110029,14574.4285714286,504.666042588772,7487.85714285714,340.080342455171,7086.71428571429,164.586608984904
"76",2021-03-01,6891,562170,4543,378730,2350,183443,110029,15020.1428571429,510.928936916631,7822,344.209253923965,7198.57142857143,166.722409546574
"77",2021-03-02,13582,575752,7457,386187,6130,189573,110029,15368.8571428571,523.272955311782,8214.14285714286,350.986558089231,7155.85714285714,172.293668032973
"78",2021-03-03,15787,591539,8407,394594,7383,196956,110029,15462,537.62099082969,8321.85714285714,358.627270992193,7141.71428571429,179.003717201829
"79",2021-03-04,19349,610888,9393,403987,9969,206925,110029,15889.8571428571,555.206354688309,8489,367.164111279754,7404.28571428571,188.064055839824
"80",2021-03-05,19257,630145,10584,414571,8802,215727,110029,15905.2857142857,572.708104227067,8750.85714285714,376.783393468995,7176.28571428571,196.063765007407
"81",2021-03-06,20668,650813,12260,426831,8809,224536,110029,15883,591.49224295413,9039.42857142857,387.925910441793,6922.71428571429,204.06983613411
"82",2021-03-07,14365,665178,8186,435017,6539,231075,110029,15699.8571428571,604.547891919403,8690,395.365767206827,7140.28571428571,210.01281480337
"83",2021-03-08,6084,671262,4429,439446,2485,233560,110029,15584.5714285714,610.077343245871,8673.71428571429,399.391069627098,7159.57142857143,212.271310290923
"84",2021-03-09,14428,685690,8067,447513,7102,240662,110029,15705.4285714286,623.190249843223,8760.85714285714,406.722773087095,7298.42857142857,218.725972243681
"85",2021-03-10,18624,704314,10603,458116,8717,249379,110029,16110.7142857143,640.116696507284,9074.57142857143,416.35932345109,7489,226.648429050523
"86",2021-03-11,23219,727533,15207,473323,8938,258317,110029,16663.5714285714,661.219314907888,9905.14285714286,430.180225213353,7341.71428571429,234.771741995292
"87",2021-03-12,24753,752286,15601,488924,10095,268412,110029,17448.7142857143,683.716111207045,10621.8571428571,444.359214388934,7526.42857142857,243.946595897445
"88",2021-03-13,28360,780646,17578,506502,11824,280236,110029,18547.5714285714,709.491134155541,11381.5714285714,460.335002590226,7957.14285714286,254.692853702206
"89",2021-03-14,20325,800971,12227,518729,9214,289450,110029,19399,727.96353688573,11958.8571428571,471.447527470031,8339.28571428571,263.067009606558
"90",2021-03-15,10597,811568,7776,526505,3047,292497,110029,20043.7142857143,737.594634141908,12437,478.514755200902,8419.57142857143,265.836279526307
"91",2021-03-16,20544,832112,14273,540778,6953,299450,110029,20917.4285714286,756.266075307419,13323.5714285714,491.486789846313,8398.28571428571,272.155522634942
"92",2021-03-17,23182,855294,16270,557048,8074,307524,110029,21568.5714285714,777.335066209817,14133.1428571429,506.273800543493,8306.42857142857,279.493588054058
"93",2021-03-18,23989,879283,17627,574675,7192,314716,110029,21678.5714285714,799.137500113606,14478.8571428571,522.294122458625,8057,286.030046624072
"94",2021-03-19,25439,904722,18327,593002,7860,322576,110029,21776.5714285714,822.257768406511,14868.2857142857,538.950640285743,7737.71428571429,293.173617864381
"95",2021-03-20,27033,931755,19846,612848,8326,330902,110029,21587,846.82674567614,15192.2857142857,556.987703241873,7238,300.740713811813
"96",2021-03-21,18721,950476,13177,626025,7298,338200,110029,21357.8571428571,863.841350916577,15328,568.963636859373,6964.28571428571,307.373510619927
"97",2021-03-22,12223,962699,8759,634784,3929,342129,110029,21590.1428571429,874.95024039117,15468.4285714286,576.924265420934,7090.28571428571,310.944387388779
"98",2021-03-23,21712,984411,16706,651490,5625,347754,110029,21757,894.683219878396,15816,592.107535286152,6900.57142857143,316.056675967245
"99",2021-03-24,25585,1009996,19776,671266,6683,354437,110029,22100.2857142857,917.936180461515,16316.8571428571,610.080978651083,6701.85714285714,322.130529224114
"100",2021-03-25,27105,1037101,20103,691369,7812,362249,110029,22545.4285714286,942.570595024948,16670.5714285714,628.351616392042,6790.42857142857,329.230475601887
"101",2021-03-26,29189,1066290,20069,711438,9856,372105,110029,23081.1428571429,969.099055703496,16919.4285714286,646.591353188705,7075.57142857143,338.188114042661
"102",2021-03-27,32050,1098340,19857,731295,12944,385049,110029,23797.8571428571,998.227739959465,16921,664.638413509166,7735.28571428571,349.952285306601
"103",2021-03-28,24435,1122775,15238,746533,10046,395095,110029,24614.1428571429,1020.43552154432,17215.4285714286,678.487489661816,8127.85714285714,359.082605494915
"104",2021-03-29,12478,1135253,9880,756413,3542,398637,110029,24650.5714285714,1031.77616810114,17375.5714285714,687.466940533859,8072.57142857143,362.301756809568
"105",2021-03-30,27631,1162884,20823,777236,7981,406618,110029,25496.1428571429,1056.88863844986,17963.7142857143,706.391951212862,8409.14285714286,369.555299057521
"106",2021-03-31,31023,1193907,21014,798250,11050,417668,110029,26273,1085.08393241782,18140.5714285714,725.490552490707,9033,379.598105953885
"107",2021-04-01,31636,1225543,20591,818841,12254,429922,110029,26920.2857142857,1113.83635223441,18210.2857142857,744.204709667451,9667.57142857143,390.735169818866
"108",2021-04-02,32673,1258216,20905,839746,13042,442964,110029,27418,1143.53125085205,18329.7142857143,763.204246153287,10122.7142857143,402.588408510484
"109",2021-04-03,34593,1292809,19433,859179,16723,459687,110029,27781.2857142857,1174.97114397114,18269.1428571429,780.865953521344,10662.5714285714,417.787128847849
"110",2021-04-04,25523,1318332,15039,874218,12427,472114,110029,27936.7142857143,1198.16775577348,18240.7142857143,794.53416826473,11002.7142857143,429.081423988221
"111",2021-04-05,9575,1327907,3371,877589,6627,478741,110029,27522,1206.87000699816,17310.8571428571,797.597906006598,11443.4285714286,435.104381572131
"112",2021-04-06,29973,1357880,17427,895016,15338,494079,110029,27856.5714285714,1234.11100709813,16825.7142857143,813.436457661162,12494.4285714286,449.044342855065
"113",2021-04-07,39730,1397610,25599,920615,17875,511954,110029,29100.4285714286,1270.2196693599,17480.7142857143,836.702142162521,13469.4285714286,465.290059893301
"114",2021-04-08,35002,1432612,18217,938832,20294,532248,110029,29581.2857142857,1302.03128266184,17141.5714285714,853.258686346327,14618,483.734288233102
"115",2021-04-09,35433,1468045,18419,957251,20095,552343,110029,29975.5714285714,1334.23461087531,16786.4285714286,869.998818493306,15625.5714285714,501.997655163639
"116",2021-04-10,37724,1505769,19681,976932,21250,573593,110029,30422.8571428571,1368.52011742359,16821.8571428571,887.885920984468,16272.2857142857,521.310745348953
"117",2021-04-11,28733,1534502,16336,993268,16633,590226,110029,30881.4285714286,1394.63414190804,17007.1428571429,902.732915867635,16873.1428571429,536.427669069064
"118",2021-04-12,15108,1549610,7563,1000831,9872,600098,110029,31671.8571428571,1408.36506739132,17606,909.606558271001,17336.7142857143,545.399849130684
"119",2021-04-13,28663,1578273,13527,1014358,18628,618726,110029,31484.7142857143,1434.41547228458,17048.8571428571,921.900589844495,17806.7142857143,562.329931199956
"120",2021-04-14,32817,1611090,14786,1029144,18073,636799,110029,30497.1428571429,1464.24124548983,15504.1428571429,935.338865208263,17835,578.755600796154
"121",2021-04-15,31282,1642372,14413,1043557,16872,653671,110029,29965.7142857143,1492.67193194521,14960.7142857143,948.438139036072,17346.1428571429,594.089739977642
"122",2021-04-16,34110,1676482,15082,1058639,19112,672783,110029,29776.7142857143,1523.67284988503,14484,962.14543438548,17205.7142857143,611.459706077489
"123",2021-04-17,32086,1708568,13217,1071856,18872,691655,110029,28971.2857142857,1552.8342527879,13560.5714285714,974.157722055095,16866,628.611547864654
"124",2021-04-18,27021,1735589,12324,1084180,14707,706362,110029,28726.7142857143,1577.3923238419,12987.4285714286,985.358405511274,16590.8571428571,641.978023975497
"125",2021-04-19,12796,1748385,3440,1087620,9357,715719,110029,28396.4285714286,1589.02198511302,12398.4285714286,988.484853993038,16517.2857142857,650.482145616156
"126",2021-04-20,28644,1777029,9043,1096663,19625,735344,110029,28393.7142857143,1615.05512183152,11757.8571428571,996.703596324605,16659.7142857143,668.318352434358
"127",2021-04-21,32708,1809737,14586,1111249,18145,753489,110029,28378.1428571429,1644.78183024475,11729.2857142857,1009.96010142781,16670,684.80945932436
"128",2021-04-22,28120,1837857,12920,1124169,15214,768703,110029,27926.4285714286,1670.33872888057,11516,1021.70246026048,16433.1428571429,698.636723045743
"129",2021-04-23,32081,1869938,16078,1140247,16012,784715,110029,27636.5714285714,1699.49558752692,11658.2857142857,1036.31497150751,15990.2857142857,713.18925010679
"130",2021-04-24,29821,1899759,12940,1153187,16882,801597,110029,27313,1726.59844222887,11618.7142857143,1048.07550736624,15706,728.532477801307
"131",2021-04-25,25342,1925101,12951,1166138,12424,814021,110029,27073.1428571429,1749.6305519454,11708.2857142857,1059.8460405893,15379.8571428571,739.82404638777
"132",2021-04-26,8641,1933742,4644,1170782,4001,818022,110029,26479.5714285714,1757.48393605322,11880.2857142857,1064.06674603968,14614.7142857143,743.460360450427
"133",2021-04-27,23040,1956782,8350,1179132,14731,832753,110029,25679,1778.42387007062,11781.2857142857,1071.65565441838,13915.5714285714,756.848648992538
"134",2021-04-28,29614,1986396,8996,1188128,20883,853636,110029,25237,1805.33859255287,10982.7142857143,1079.83168073871,14306.7142857143,775.828190749711
"135",2021-04-29,24406,2010802,8785,1196913,16063,869699,110029,24706.4285714286,1827.52001744995,10392,1087.81593943415,14428,790.427069227204
"136",2021-04-30,24112,2034914,8531,1205444,16058,885757,110029,23568,1849.43424006398,9313.85714285714,1095.56934989866,14434.5714285714,805.021403448182
"137",2021-05-01,26188,2061102,10682,1216126,16124,901881,110029,23049,1873.23523798271,8991.28571428571,1105.27769951558,14326.2857142857,819.675721855147
"138",2021-05-02,15686,2076788,5836,1221962,10205,912086,110029,21669.5714285714,1887.49147951904,7974.85714285714,1110.58175571895,14009.2857142857,828.950549400613
"139",2021-05-03,6273,2083061,2353,1224315,4271,916357,110029,21331.2857142857,1893.19270374174,7647.57142857143,1112.72028283453,14047.8571428571,832.832253315035
"140",2021-05-04,16655,2099716,4829,1229144,12479,928836,110029,20419.1428571429,1908.32962219051,7144.57142857143,1117.10912577593,13726.1428571429,844.173808723155
"141",2021-05-05,19895,2119611,6743,1235887,13989,942825,110029,19030.7142857143,1926.41121886048,6822.71428571429,1123.23751011097,12741.2857142857,856.88772959856
"142",2021-05-06,18612,2138223,6769,1242656,12495,955320,110029,18203,1943.32675930891,6534.71428571429,1129.38952457988,12231.5714285714,868.243826627526
"143",2021-05-07,18343,2156566,5714,1248370,13217,968537,110029,17378.8571428571,1959.99781875687,6132.28571428571,1134.5827009243,11825.7142857143,880.25611429714
"144",2021-05-08,19006,2175572,6268,1254638,13328,981865,110029,16352.8571428571,1977.27144661862,5501.71428571429,1140.27938089049,11426.2857142857,892.369284461369
"145",2021-05-09,15370,2190942,4378,1259016,11572,993437,110029,16307.7142857143,1991.24049114324,5293.42857142857,1144.25833189432,11621.5714285714,902.886511737815
"146",2021-05-10,4257,2195199,1815,1260831,2897,996334,110029,16019.7142857143,1995.10947113943,5216.57142857143,1145.90789700897,11425.2857142857,905.519453962137
"147",2021-05-11,12021,2207220,4032,1264863,8822,1005156,110029,15357.7142857143,2006.03477265085,5102.71428571429,1149.57238546201,10902.8571428571,913.537340155777
"148",2021-05-12,18656,2225876,5315,1270178,13832,1018988,110029,15180.7142857143,2022.9903025566,4898.71428571429,1154.4029301366,10880.4285714286,926.108571376637
"149",2021-05-13,17230,2243106,5472,1275650,12271,1031259,110029,14983.2857142857,2038.6498105045,4713.42857142857,1159.37616446573,10848.4285714286,937.261085713766
"150",2021-05-14,23268,2266374,8095,1283745,15512,1046771,110029,15686.8571428571,2059.79696261895,5053.57142857143,1166.73331576221,11176.2857142857,951.359187123395
"151",2021-05-15,21965,2288339,9519,1293264,12926,1059697,110029,16109.5714285714,2079.75988148579,5518,1175.38467131393,11118.8571428571,963.106999063883
"152",2021-05-16,20428,2308767,9147,1302411,11716,1071413,110029,16832.1428571429,2098.32589590017,6199.28571428571,1183.69793418099,11139.4285714286,973.755100927937
"153",2021-05-17,9103,2317870,4728,1307139,4683,1076096,110029,17524.4285714286,2106.59916930991,6615.42857142857,1187.99498314081,11394.5714285714,978.011251579129
"154",2021-05-18,17330,2335200,7979,1315118,9929,1086025,110029,18282.8571428571,2122.3495623881,7179.28571428571,1195.24670768616,11552.7142857143,987.035236165011
"155",2021-05-19,17870,2353070,8565,1323683,9810,1095835,110029,18170.5714285714,2138.59073516982,7643.57142857143,1203.03101909497,10978.1428571429,995.951067445855
"156",2021-05-20,17617,2370687,9573,1333256,8606,1104441,110029,18225.8571428571,2154.60196857192,8229.42857142857,1211.73145261704,10454.5714285714,1003.77264175808
"157",2021-05-21,14239,2384926,6956,1340212,7785,1112226,110029,16936,2167.54310227304,8066.71428571429,1218.05342227958,9350.71428571429,1010.84804915068
"158",2021-05-22,17375,2402301,8222,1348434,9643,1121869,110029,16280.2857142857,2183.33439365985,7881.42857142857,1225.52599769152,8881.71428571429,1019.61210226395
"159",2021-05-23,14627,2416928,7594,1356028,7405,1129274,110029,15451.5714285714,2196.62816166647,7659.57142857143,1232.42781448527,8265.85714285714,1026.34214616147
"160",2021-05-24,5744,2422672,3519,1359547,2469,1131743,110029,14971.7142857143,2201.84860354997,7486.85714285714,1235.62606221996,7949.57142857143,1028.58610002817
"161",2021-05-25,11267,2433939,5599,1365146,6143,1137886,110029,14105.5714285714,2212.08863117905,7146.85714285714,1240.71472066455,7408.71428571429,1034.16917358151
"162",2021-05-26,11871,2445810,5295,1370441,6960,1144846,110029,13248.5714285714,2222.87760499505,6679.71428571429,1245.52708831308,7001.57142857143,1040.49477864927
"163",2021-05-27,12556,2458366,6281,1376722,6650,1151496,110029,12525.5714285714,2234.28914195349,6209.42857142857,1251.23558334621,6722.14285714286,1046.53863981314
"164",2021-05-28,10315,2468681,4862,1381584,5781,1157277,110029,11965,2243.66394314226,5910.28571428571,1255.65441838061,6435.85714285714,1051.79270919485
"165",2021-05-29,11611,2480292,4663,1386247,7328,1164605,110029,11141.5714285714,2254.21661561952,5401.85714285714,1259.89239200574,6105.14285714286,1058.45277154205
"166",2021-05-30,8139,2488431,4638,1390885,3843,1168448,110029,10214.7142857143,2261.61375637332,4979.57142857143,1264.10764434831,5596.28571428571,1061.94548709886
"167",2021-05-31,3034,2491465,1718,1392603,1509,1169957,110029,9827.57142857143,2264.37121122613,4722.28571428571,1265.66905088658,5459.14285714286,1063.31694371484
"168",2021-06-01,731,2492196,391,1392994,421,1170378,110029,8322.42857142857,2265.03558152851,3978.28571428571,1266.02441174599,4641.71428571429,1063.69957011333
"169",2021-06-02,10915,2503111,4824,1397818,6438,1176816,110029,8185.85714285714,2274.95569349899,3911,1270.40871043089,4567.14285714286,1069.55075480101
"170",2021-06-03,10584,2513695,5542,1403360,5328,1182144,110029,7904.14285714286,2284.57497568823,3805.42857142857,1275.44556435122,4378.28571428571,1074.39311454253
"171",2021-06-04,11293,2524988,4659,1408019,6945,1189089,110029,8043.85714285714,2294.83863345118,3776.42857142857,1279.67990257114,4544.57142857143,1080.70508684074
"172",2021-06-05,12170,2537158,4507,1412526,7997,1197086,110029,8123.71428571429,2305.89935380672,3754.14285714286,1283.77609539303,4640.14285714286,1087.97317070954
"173",2021-06-06,11130,2548288,4349,1416875,7072,1204158,110029,8551,2316.01486880731,3712.85714285714,1287.72868970908,5101.42857142857,1094.40056712321
"174",2021-06-07,6157,2554445,1906,1418781,4424,1208582,110029,8997.14285714286,2321.61066627889,3739.71428571429,1289.46096029229,5517.85714285714,1098.42132528697
"175",2021-06-08,10282,2564727,3729,1422510,6923,1215505,110029,10361.5714285714,2330.95547537467,4216.57142857143,1292.85006680057,6446.71428571429,1104.71330285652
"176",2021-06-09,10486,2575213,3611,1426121,7226,1222731,110029,10300.2857142857,2340.48569013624,4043.28571428571,1296.13192885512,6559.28571428571,1111.28066237083
"177",2021-06-10,10702,2585915,3662,1429783,7322,1230053,110029,10317.1428571429,2350.21221677921,3774.71428571429,1299.46014232611,6844.14285714286,1117.93527161021
"178",2021-06-11,9446,2595361,3774,1433557,6038,1236091,110029,10053.2857142857,2358.79722618582,3648.28571428571,1302.89014714303,6714.57142857143,1123.42291577675
"179",2021-06-12,10463,2605824,3761,1437318,7075,1243166,110029,9809.42857142857,2368.30653736742,3541.71428571429,1306.308336893,6582.85714285714,1129.85303874433
"180",2021-06-13,8901,2614725,2830,1440148,6341,1249507,110029,9491,2376.39622281399,3324.71428571429,1308.88038608003,6478.42857142857,1135.61606485563
"181",2021-06-14,4397,2619122,1307,1441455,3288,1252795,110029,9239.57142857143,2380.39244199257,3239.14285714286,1310.06825473284,6316.14285714286,1138.60436793936
"182",2021-06-15,8595,2627717,3638,1445093,5303,1258098,110029,8998.57142857143,2388.20401894046,3226.14285714286,1313.37465577257,6084.71428571429,1143.42400639831
