"","ZCTA5","WeekNo","StartDate","EndDate","CasesWk","CasesCm","CasesWkRt","CasesCmRt","TestsWk","TestsCm","TestsWkRt","TestsCmRt","PctPosWk","PctPosCum","DeathsWk","DeathsCm","DeathsWkRt","DeathsCmRt","RowID","TOTPOP","REGION","ZCTA5No","SurvCm","NotTestedCm","NotInfCm","CasesWkRtLag1wk","DeathsWkRtLag1wk","PctPosWkLag1wk","PctPosWk_adj","CasesWkRt_adj","DeathsWkRt_adj","PctPosWk_trd","CasesWkRt_trd","DeathsWkRt_trd","Hardship","CasesWkRt_qa","PctPosWk_qa","Hardship_qa","color","DeathsWkRt_qa","CasesWk_c","DeathsWk_c","CasesWkRt_c","DeathsWkRt_c","PctPosWk_c","CasesRtDiff","DeathsRtDiff","PctPosDiff"
"30","60601",12,2020-03-16,2020-03-22,10,14,68,95.4,31,37,211,252.1,32.258064516129,37.8378378378378,0,0,0,0,"60601-2020-12",14675,"central",60601,14675,14638,14661,0,0,0,86.0215053763441,93.1506849315068,0,86.0215053763441,93.1506849315068,0,60.0405295523852,2,5,5,"#ff0000",1,821,7,29.5982461687215,0,20.8852709234292,38.4017538312785,0,11.3727935926999
"31","60602",12,2020-03-16,2020-03-22,0,0,0,0,4,4,322,321.5,0,0,0,0,0,0,"60602-2020-12",1244,"central",60602,1244,1240,1244,0,0,0,0,0,0,0,0,0,0,1,1,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-29.5982461687215,0,-20.8852709234292
"32","60707",12,2020-03-16,2020-03-22,0,0,0,0,12,15,28,34.9,0,0,0,0,0,0,"60707-2020-12",43019,"northwest",60707,43019,43004,43019,0,0,0,0,0,0,0,0,0,0,1,1,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-29.5982461687215,0,-20.8852709234292
"33","60636",12,2020-03-16,2020-03-22,12,14,37,43.5,51,57,158,177,23.5294117647059,24.5614035087719,1,1,3.1,3.1,"60636-2020-12",32203,"southwest",60636,32202,32146,32189,0,0,0,62.7450980392157,50.6849315068493,100,62.7450980392157,50.6849315068493,100,71.5203178256032,1,5,5,"#ff0000",3,821,7,29.5982461687215,0.111759516593224,20.8852709234292,7.40175383127846,2.98824048340678,2.64414084127673
"34","60624",12,2020-03-16,2020-03-22,18,19,50,52.5,87,97,241,268.3,20.6896551724138,19.5876288659794,0,0,0,0,"60624-2020-12",36158,"central",60624,36158,36061,36139,0,0,0,55.1724137931034,68.4931506849315,0,55.1724137931034,68.4931506849315,0,41.4402813622941,2,5,4,"#ffaa00",1,821,7,29.5982461687215,0,20.8852709234292,20.4017538312785,0,-0.19561575101536
"35","60609",12,2020-03-16,2020-03-22,13,14,21,22.8,62,67,101,109,20.9677419354839,20.8955223880597,0,0,0,0,"60609-2020-12",61495,"southwest",60609,61495,61428,61481,0,0,0,55.9139784946237,28.7671232876712,0,55.9139784946237,28.7671232876712,0,28.3766034525372,1,5,2,"#bed2ff",1,821,7,29.5982461687215,0,20.8852709234292,-8.59824616872154,0,0.0824710120547181
"36","60641",12,2020-03-16,2020-03-22,10,11,14,15.5,61,66,86,92.9,16.3934426229508,16.6666666666667,0,0,0,0,"60641-2020-12",71023,"northwest",60641,71023,70957,71012,0,0,0,43.7158469945355,19.1780821917808,0,43.7158469945355,19.1780821917808,0,21.0757306002034,1,5,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-15.5982461687215,0,-4.49182830047834
"37","60632",12,2020-03-16,2020-03-22,4,7,4,7.7,66,70,72,76.9,6.06060606060606,10,0,0,0,0,"60632-2020-12",91039,"southwest",60632,91039,90969,91032,0,0,0,16.1616161616162,5.47945205479452,0,16.1616161616162,5.47945205479452,0,7.25191333297919,1,4,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-25.5982461687215,0,-14.8246648628231
"38","60616",12,2020-03-16,2020-03-22,11,14,20,25.7,69,80,127,146.9,15.9420289855072,17.5,0,0,0,0,"60616-2020-12",54464,"central",60616,54464,54384,54450,0,0,0,42.512077294686,27.3972602739726,0,42.512077294686,27.3972602739726,0,23.4265911527164,1,5,2,"#bed2ff",1,821,7,29.5982461687215,0,20.8852709234292,-9.59824616872154,0,-4.94324193792191
"39","60622",12,2020-03-16,2020-03-22,22,28,42,53,92,101,174,191.3,23.9130434782609,27.7227722772277,0,0,0,0,"60622-2020-12",52793,"northeast",60622,52793,52692,52765,0,0,0,63.768115942029,57.5342465753425,0,63.768115942029,57.5342465753425,0,40.6483733272711,1,5,4,"#ffaa00",1,821,7,29.5982461687215,0,20.8852709234292,12.4017538312785,0,3.02777255483172
"40","60607",12,2020-03-16,2020-03-22,14,17,47,57.4,73,78,247,263.6,19.1780821917808,21.7948717948718,0,0,0,0,"60607-2020-12",29591,"central",60607,29591,29513,29574,0,0,0,51.1415525114155,64.3835616438356,0,51.1415525114155,64.3835616438356,0,38.7124197039919,2,5,3,"#ffebaf",1,821,7,29.5982461687215,0,20.8852709234292,17.4017538312785,0,-1.70718873164833
"41","60639",12,2020-03-16,2020-03-22,14,14,16,15.5,57,64,63,70.7,24.5614035087719,21.875,1,1,1.1,1.1,"60639-2020-12",90517,"northwest",60639,90516,90453,90503,0,0,0,65.4970760233918,21.9178082191781,35.4838709677419,65.4970760233918,21.9178082191781,35.4838709677419,41.1833238823378,1,5,4,"#ffaa00",2,821,7,29.5982461687215,0.0396566026621117,20.8852709234292,-13.5982461687215,1.06034339733789,3.67613258534277
"42","60614",12,2020-03-16,2020-03-22,24,38,34,53.3,122,149,171,209,19.672131147541,25.503355704698,1,1,1.4,1.4,"60614-2020-12",71308,"northeast",60614,71307,71159,71270,0,0,0,52.4590163934426,46.5753424657534,45.1612903225806,52.4590163934426,46.5753424657534,45.1612903225806,48.3199045630268,1,5,4,"#ffaa00",2,821,7,29.5982461687215,0.0504720397517785,20.8852709234292,4.40175383127846,1.34952796024822,-1.21313977588817
"43","60661",12,2020-03-16,2020-03-22,0,0,0,0,21,21,212,211.6,0,0,0,0,0,0,"60661-2020-12",9926,"central",60661,9926,9905,9926,0,0,0,0,0,0,0,0,0,0,1,1,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-29.5982461687215,0,-20.8852709234292
"44","60630",12,2020-03-16,2020-03-22,13,13,23,22.7,40,46,70,80.2,32.5,28.2608695652174,1,1,1.7,1.7,"60630-2020-12",57344,"northwest",60630,57343,57298,57331,0,0,0,86.6666666666667,31.5068493150685,54.8387096774194,86.6666666666667,31.5068493150685,54.8387096774194,57.9763278540288,1,5,5,"#ff0000",2,821,7,29.5982461687215,0.0612874768414453,20.8852709234292,-6.59824616872154,1.63871252315855,11.6147290765708
"45","60659",12,2020-03-16,2020-03-22,20,21,49,51.1,54,59,132,143.7,37.037037037037,35.5932203389831,0,0,0,0,"60659-2020-12",41068,"northeast",60659,41068,41009,41047,0,0,0,98.7654320987654,67.1232876712329,0,98.7654320987654,67.1232876712329,0,55.5892438700712,2,5,5,"#ff0000",1,821,7,29.5982461687215,0,20.8852709234292,19.4017538312785,0,16.1517661136079
"46","60605",12,2020-03-16,2020-03-22,20,23,73,83.6,85,100,309,363.4,23.5294117647059,23,0,0,0,0,"60605-2020-12",27519,"central",60605,27519,27419,27496,0,0,0,62.7450980392157,100,0,62.7450980392157,100,0,54.5358174811641,2,5,5,"#ff0000",1,821,7,29.5982461687215,0,20.8852709234292,43.4017538312785,0,2.64414084127673
"47","60620",12,2020-03-16,2020-03-22,31,36,46,52.9,94,103,138,151.3,32.9787234042553,34.9514563106796,2,2,2.9,2.9,"60620-2020-12",68096,"southwest",60620,68094,67993,68060,0,0,0,87.9432624113475,63.013698630137,93.5483870967742,87.9432624113475,63.013698630137,93.5483870967742,81.9336446989234,2,5,5,"#ff0000",3,821,7,29.5982461687215,0.104549225200113,20.8852709234292,16.4017538312785,2.79545077479989,12.0934524808262
"48","60637",12,2020-03-16,2020-03-22,22,22,46,46.4,149,154,314,324.5,14.7651006711409,14.2857142857143,0,0,0,0,"60637-2020-12",47454,"southeast",60637,47454,47300,47432,0,0,0,39.3736017897092,63.013698630137,0,39.3736017897092,63.013698630137,0,34.3099435581178,2,5,3,"#ffebaf",1,821,7,29.5982461687215,0,20.8852709234292,16.4017538312785,0,-6.12017025228821
"49","60649",12,2020-03-16,2020-03-22,28,28,61,60.8,125,128,272,278.1,22.4,21.875,0,0,0,0,"60649-2020-12",46024,"southeast",60649,46024,45896,45996,0,0,0,59.7333333333333,83.5616438356164,0,59.7333333333333,83.5616438356164,0,48.0180897305451,2,5,4,"#ffaa00",1,821,7,29.5982461687215,0,20.8852709234292,31.4017538312785,0,1.51472907657085
"50","60827",12,2020-03-16,2020-03-22,0,0,0,0,6,6,21,21,0,0,0,0,0,0,"60827-2020-12",28577,"southeast",60827,28577,28571,28577,0,0,0,0,0,0,0,0,0,0,1,1,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-29.5982461687215,0,-20.8852709234292
"51","60612",12,2020-03-16,2020-03-22,19,19,55,55.4,98,110,286,320.6,19.3877551020408,17.2727272727273,0,0,0,0,"60612-2020-12",34311,"central",60612,34311,34201,34292,0,0,0,51.7006802721088,75.3424657534247,0,51.7006802721088,75.3424657534247,0,42.5721075925241,2,5,4,"#ffaa00",1,821,7,29.5982461687215,0,20.8852709234292,25.4017538312785,0,-1.49751582138834
