"","Date","Geography","Cases","Cases7d","Casescm","Deaths","Deaths7d","Deathscm"
"975",2020-11-12,"Illinois",12604,12705.2857142857,536346,43,63.8571428571429,10477
"976",2020-11-12,"US",133935,120375.285714286,10124555,1846,1077,238573
"977",2020-11-13,"Chicago",2690,2477,138926,20,14,3270
"978",2020-11-13,"Cook",5945,4628,242662,4,20.4285714285714,5729
"979",2020-11-13,"Illinois",15385,12328.1428571429,551731,27,60.7142857142857,10504
"980",2020-11-13,"US",142076,125521.857142857,10266631,1471,1125.42857142857,240044
"981",2020-11-14,"Chicago",1400,2452.14285714286,140326,16,14.4285714285714,3286
"982",2020-11-14,"Cook",3730,4495.42857142857,246392,68,26.4285714285714,5797
"983",2020-11-14,"Illinois",11013,12127.7142857143,562744,166,73.7142857142857,10670
"984",2020-11-14,"US",193734,136515.285714286,10460365,1142,1127.71428571429,241186
"985",2020-11-15,"Chicago",831,2412.71428571429,141157,13,14.7142857142857,3299
"986",2020-11-15,"Cook",4709,4634.14285714286,251101,20,25.4285714285714,5817
"987",2020-11-15,"Illinois",10625,12215,573369,72,78,10742
"988",2020-11-15,"US",181066,143550.285714286,10641431,1356,1148.85714285714,242542
"989",2020-11-16,"Chicago",2559,2318.28571428571,143716,26,16.4285714285714,3325
"990",2020-11-16,"Cook",4507,4642.57142857143,255608,19,27.2857142857143,5836
"991",2020-11-16,"Illinois",11643,12362.5714285714,585012,37,81.2857142857143,10779
"992",2020-11-16,"US",155001,147528.857142857,10796432,1216,1170.85714285714,243758
"993",2020-11-17,"Chicago",2456,2190.71428571429,146172,21,17.4285714285714,3346
"994",2020-11-17,"Cook",4396,4654.14285714286,260004,19,26.8571428571429,5855
"995",2020-11-17,"Illinois",12525,12348.1428571429,597537,96,83.7142857142857,10875
"996",2020-11-17,"US",137486,152218.428571429,10933918,653,1195.57142857143,244411
"997",2020-11-18,"Chicago",2317,2167.42857142857,148489,17,18.7142857142857,3363
"998",2020-11-18,"Cook",2425,4423.85714285714,262429,80,31.1428571428571,5935
"999",2020-11-18,"Illinois",8922,11816.7142857143,606459,139,82.8571428571429,11014
"1000",2020-11-18,"US",151266,156366.285714286,11085184,753,1205.28571428571,245164
"1001",2020-11-19,"Chicago",2171,2060.57142857143,150660,17,18.5714285714286,3380
"1002",2020-11-19,"Cook",5855,4509.57142857143,268284,32,34.5714285714286,5967
"1003",2020-11-19,"Illinois",14627,12105.7142857143,621086,164,100.142857142857,11178
"1004",2020-11-19,"US",164044,160667.571428571,11249228,1582,1167.57142857143,246746
"1005",2020-11-20,"Chicago",2300,2004.85714285714,152960,31,20.1428571428571,3411
"1006",2020-11-20,"Cook",4449,4295.85714285714,272733,50,41.1428571428571,6017
"1007",2020-11-20,"Illinois",13000,11765,634086,126,114.285714285714,11304
"1008",2020-11-20,"US",164560,163879.571428571,11413788,1825,1218.14285714286,248571
"1009",2020-11-21,"Chicago",1266,1985.71428571429,154226,18,20.4285714285714,3429
"1010",2020-11-21,"Cook",4293,4376.28571428571,277026,49,38.4285714285714,6066
"1011",2020-11-21,"Illinois",11898,11891.4285714286,645984,126,108.571428571429,11430
"1012",2020-11-21,"US",184191,162516.285714286,11597979,2036,1345.85714285714,250607
"1013",2020-11-22,"Chicago",779,1978.28571428571,155005,15,20.7142857142857,3444
"1014",2020-11-22,"Cook",3870,4256.42857142857,280896,40,41.2857142857143,6106
"1015",2020-11-22,"Illinois",9980,11799.2857142857,655964,76,109.142857142857,11506
"1016",2020-11-22,"US",191033,163940.142857143,11789012,1853,1416.85714285714,252460
"1017",2020-11-23,"Chicago",2378,1952.42857142857,157383,19,19.7142857142857,3463
"1018",2020-11-23,"Cook",3321,4087,284217,33,43.2857142857143,6139
"1019",2020-11-23,"Illinois",8293,11320.7142857143,664257,46,110.428571428571,11552
"1020",2020-11-23,"US",183544,168017.714285714,11972556,1471,1453.28571428571,253931
"1021",2020-11-24,"Chicago",1927,1876.85714285714,159310,16,19,3479
"1022",2020-11-24,"Cook",2907,3874.28571428571,287124,44,46.8571428571429,6183
"1023",2020-11-24,"Illinois",9456,10882.2857142857,673713,125,114.571428571429,11677
"1024",2020-11-24,"US",147098,169390.857142857,12119654,867,1483.85714285714,254798
"1025",2020-11-25,"Chicago",1834,1807.85714285714,161144,17,19,3496
"1026",2020-11-25,"Cook",4188,4126.14285714286,291312,25,39,6208
"1027",2020-11-25,"Illinois",11347,11228.7142857143,685060,155,116.857142857143,11832
"1028",2020-11-25,"US",157180,170235.714285714,12276834,1052,1526.57142857143,255850
"1029",2020-11-26,"Chicago",265,1535.57142857143,161409,22,19.7142857142857,3518
"1030",2020-11-26,"Cook",4817,3977.85714285714,296129,29,38.5714285714286,6237
"1031",2020-11-26,"Illinois",11975,10849.8571428571,697035,131,112.142857142857,11963
"1032",2020-11-26,"US",165091,170385.285714286,12441925,1975,1582.71428571429,257825
"1033",2020-11-27,"Chicago",1250,1385.57142857143,162659,21,18.2857142857143,3539
"1034",2020-11-27,"Cook",2741,3733.85714285714,298870,26,35.1428571428571,6263
"1035",2020-11-27,"Illinois",7590,10077,704625,66,103.571428571429,12029
