"","Date","Category","Value","layer"
"218",2020-10-17,"Deaths_Age0_17",0,"DeathsAgeT"
"219",2020-10-18,"Deaths_Age0_17",0,"DeathsAgeT"
"220",2020-10-19,"Deaths_Age0_17",0,"DeathsAgeT"
"221",2020-10-20,"Deaths_Age0_17",0,"DeathsAgeT"
"222",2020-10-21,"Deaths_Age0_17",0,"DeathsAgeT"
"223",2020-10-22,"Deaths_Age0_17",0,"DeathsAgeT"
"224",2020-10-23,"Deaths_Age0_17",0,"DeathsAgeT"
"225",2020-10-24,"Deaths_Age0_17",0,"DeathsAgeT"
"226",2020-10-25,"Deaths_Age0_17",0,"DeathsAgeT"
"227",2020-10-26,"Deaths_Age0_17",0,"DeathsAgeT"
"228",2020-10-27,"Deaths_Age0_17",0,"DeathsAgeT"
"229",2020-10-28,"Deaths_Age0_17",0,"DeathsAgeT"
"230",2020-10-29,"Deaths_Age0_17",0,"DeathsAgeT"
"231",2020-10-30,"Deaths_Age0_17",0,"DeathsAgeT"
"232",2020-10-31,"Deaths_Age0_17",0,"DeathsAgeT"
"233",2020-11-01,"Deaths_Age0_17",0,"DeathsAgeT"
"234",2020-11-02,"Deaths_Age0_17",0,"DeathsAgeT"
"235",2020-11-03,"Deaths_Age0_17",0,"DeathsAgeT"
"236",2020-11-04,"Deaths_Age0_17",0,"DeathsAgeT"
"237",2020-11-05,"Deaths_Age0_17",0,"DeathsAgeT"
"238",2020-11-06,"Deaths_Age0_17",0,"DeathsAgeT"
"239",2020-11-07,"Deaths_Age0_17",0,"DeathsAgeT"
"240",2020-11-08,"Deaths_Age0_17",0,"DeathsAgeT"
"241",2020-11-09,"Deaths_Age0_17",0,"DeathsAgeT"
"242",2020-11-10,"Deaths_Age0_17",0,"DeathsAgeT"
"243",2020-11-11,"Deaths_Age0_17",0,"DeathsAgeT"
"244",2020-11-12,"Deaths_Age0_17",0,"DeathsAgeT"
"245",2020-11-13,"Deaths_Age0_17",0,"DeathsAgeT"
"246",2020-11-14,"Deaths_Age0_17",0,"DeathsAgeT"
"247",2020-11-15,"Deaths_Age0_17",0,"DeathsAgeT"
"248",2020-11-16,"Deaths_Age0_17",0,"DeathsAgeT"
"249",2020-11-17,"Deaths_Age0_17",0,"DeathsAgeT"
"250",2020-11-18,"Deaths_Age0_17",0,"DeathsAgeT"
"251",2020-11-19,"Deaths_Age0_17",0,"DeathsAgeT"
"252",2020-11-20,"Deaths_Age0_17",0,"DeathsAgeT"
"253",2020-11-21,"Deaths_Age0_17",0,"DeathsAgeT"
"254",2020-11-22,"Deaths_Age0_17",0,"DeathsAgeT"
"255",2020-11-23,"Deaths_Age0_17",0,"DeathsAgeT"
"256",2020-11-24,"Deaths_Age0_17",0,"DeathsAgeT"
"257",2020-11-25,"Deaths_Age0_17",0,"DeathsAgeT"
"258",2020-11-26,"Deaths_Age0_17",0,"DeathsAgeT"
"259",2020-11-27,"Deaths_Age0_17",0,"DeathsAgeT"
"260",2020-11-28,"Deaths_Age0_17",0,"DeathsAgeT"
"261",2020-11-29,"Deaths_Age0_17",0,"DeathsAgeT"
"262",2020-11-30,"Deaths_Age0_17",0,"DeathsAgeT"
"263",2020-12-01,"Deaths_Age0_17",0,"DeathsAgeT"
"264",2020-03-14,"Deaths_Age18_29",0,"DeathsAgeT"
"265",2020-03-15,"Deaths_Age18_29",0,"DeathsAgeT"
